Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
Swaziland,2007,3.01,2763,1134977,2.65,2434.41
Sweden,2007,37.77,421149,9148092,4.13,46036.81
Switzerland,2007,49.15,441448,7551117,6.51,58461.28
Syria,2007,96.84,32029,19561477,4.95,1637.35
Tajikistan,2007,8.34,2667,7111025,1.17,375.05
Tanzania,2007,163.52,16174,41119693,3.98,393.34
Thailand,2007,328.57,194682,66076927,4.97,2946.29
Togo,2007,13.39,2251,5834806,2.30,385.79
Tonga,2007,0.29,250,102289,2.83,2444.06
Trinidad & Tobago,2007,40.29,19170,1310040,30.75,14633.14
Tunisia,2007,31.74,36231,10225100,3.10,3543.34
Turkey,2007,343.37,540377,69496513,4.94,7775.60
Turkmenistan,2007,95.27,9988,4858236,19.61,2055.89
Uganda,2007,41.71,10826,30728747,1.36,352.31
Ukraine,2007,401.42,99732,46509350,8.63,2144.34
United Arab Emirates,2007,165.91,204702,5797347,28.62,35309.60
United Kingdom,2007,620.22,2549016,61322463,10.11,41567.41
United States,2007,6474.17,13681139,301231207,21.49,45417.40
Uruguay,2007,13.53,19257,3338384,4.05,5768.36
Uzbekistan,2007,219.31,16810,26868000,8.16,625.65
Vanuatu,2007,0.51,451,220001,2.31,2049.99
Venezuela,2007,350.28,173874,27655937,12.67,6287.04
Vietnam,2007,186.92,66051,84218500,2.22,784.28
World,2007,43915.81,50828996,6645686556,6.61,7648.42
Yemen,2007,30.24,17862,21182162,1.43,843.26
Zambia,2007,116.16,9741,12109620,9.59,804.40
Zimbabwe,2007,62.29,5353,12740160,4.89,420.17
Afghanistan,2008,23.65,7806,27032197,0.87,288.77
Albania,2008,7.53,10016,2947314,2.55,3398.35
Algeria,2008,157.36,110692,35725377,4.40,3098.41
Angola,2008,176.80,47564,18314441,9.65,2597.08
Antigua & Barbuda,2008,0.94,1239,85349,10.96,14516.87
Argentina,2008,407.11,268975,39676083,10.26,6779.27
Armenia,2008,9.33,6745,2977488,3.13,2265.33
Australia,2008,602.43,768355,21249200,28.35,36159.24
Austria,2008,90.14,342175,8321496,10.83,41119.41
Azerbaijan,2008,63.26,24677,8763400,7.22,2815.92
"Bahamas, The",2008,1.50,7828,348340,4.32,22472.30
Bahrain,2008,31.11,19562,1116038,27.87,17528.08
Bangladesh,2008,171.40,72948,147969967,1.16,492.99
Barbados,2008,3.62,4197,277634,13.04,15117.02
Belarus,2008,67.73,39770,9528000,7.11,4174.01
Belgium,2008,130.96,412937,10709973,12.23,38556.31
Belize,2008,13.79,1216,293544,46.98,4142.48
Benin,2008,21.32,4968,8973293,2.38,553.64
Bhutan,2008,-7.79,1081,692159,-11.25,1561.78
Bolivia,2008,129.82,11107,9834098,13.20,1129.44
Bosnia & Herzegovina,2008,26.71,13042,3861201,6.92,3377.71
Botswana,2008,26.92,12107,1933719,13.92,6260.99
Brazil,2008,1677.16,1023276,191765567,8.75,5336.08
Brunei,2008,20.68,9773,388017,53.29,25187.04
Bulgaria,2008,51.48,35271,7492561,6.87,4707.47
Burkina Faso,2008,32.24,6393,14659646,2.20,436.10
Burundi,2008,6.31,1296,8624280,0.73,150.27
Cambodia,2008,47.45,8197,13940518,3.40,588.00
Cameroon,2008,193.32,18190,19595026,9.87,928.30
Canada,2008,862.57,1233020,33245773,25.95,37088.02
Cape Verde,2008,0.45,1289,484651,0.92,2659.65
Central African Republic,2008,63.84,1632,4185106,15.25,389.95
Chad,2008,43.54,7120,11030628,3.95,645.48
Chile,2008,83.50,141084,16831184,4.96,8382.30
China,2008,8455.12,3182858,1324655000,6.38,2402.78
Colombia,2008,193.53,173049,45153037,4.29,3832.50
Comoros,2008,0.61,395,649291,0.93,608.36
"Congo, Dem. Rep.",2008,203.02,14224,58819038,3.45,241.83
"Congo, Rep.",2008,16.51,6719,3876475,4.26,1733.28
Cook Islands,2008,0.11,227,12271,8.71,18498.90
Costa Rica,2008,5.63,24081,4532711,1.24,5312.71
Cote d'Ivoire,2008,33.35,18099,18260044,1.83,991.18
Croatia,2008,18.30,51068,4434508,4.13,11516.05
Cuba,2008,30.89,53370,11296355,2.73,4724.53
Cyprus,2008,9.12,19282,1077089,8.47,17901.96
Czech Republic,2008,125.81,157536,10384603,12.12,15170.15
Denmark,2008,64.25,274880,5493621,11.69,50036.21
Djibouti,2008,1.25,826,810100,1.55,1019.63
Dominica,2008,0.32,443,70883,4.45,6249.74
Dominican Republic,2008,30.99,42063,9750195,3.18,4314.07
Ecuador,2008,131.81,47099,14512402,9.08,3245.43
Egypt,2008,267.49,109959,75491922,3.54,1456.57
El Salvador,2008,14.00,18680,6151776,2.28,3036.52
Equatorial Guinea,2008,25.06,9935,658025,38.09,15098.21
Eritrea,2008,6.84,995,5382163,1.27,184.87
Estonia,2008,29.78,15794,1337090,22.27,11812.22
Ethiopia,2008,132.60,16972,82621190,1.60,205.42
European Union (15),2008,3688.35,14271118,395295557,9.33,36102.40
European Union (28),2008,4526.06,15279650,497474203,9.10,30714.46
Fiji,2008,1.28,3068,843851,1.52,3635.71
Finland,2008,77.00,225363,5313399,14.49,42414.09
France,2008,469.98,2313743,64371099,7.30,35943.82
Gabon,2008,5.88,9348,1482843,3.97,6304.11
"Gambia, The",2008,6.29,692,1577984,3.99,438.53
Georgia,2008,8.75,8061,4383800,2.00,1838.82
Germany,2008,846.55,3092676,82110097,10.31,37664.99
Ghana,2008,53.95,13181,23110139,2.33,570.36
Greece,2008,117.84,270133,11186439,10.53,24148.26
Grenada,2008,1.73,715,103932,16.69,6879.50
Guatemala,2008,38.89,31483,13648307,2.85,2306.73
Guinea,2008,27.98,3215,10314678,2.71,311.69
Guinea-Bissau,2008,3.84,639,1516920,2.53,421.25
Guyana,2008,7.21,852,775739,9.30,1098.31
Haiti,2008,8.08,4427,9638255,0.84,459.32
Honduras,2008,47.37,11408,7322368,6.47,1557.97
Hungary,2008,74.38,117946,10038188,7.41,11749.73
Iceland,2008,3.00,19433,317414,9.44,61222.88
India,2008,2328.86,1039778,1174662334,1.98,885.17
Indonesia,2008,1902.90,340018,234243489,8.12,1451.56
Iran,2008,666.56,220514,72660887,9.17,3034.84
Iraq,2008,186.88,59474,29429829,6.35,2020.87
Ireland,2008,67.41,226732,4489544,15.02,50502.23
Israel,2008,81.88,164293,7308800,11.20,22478.79
Italy,2008,500.35,1898384,58826731,8.51,32270.77
Jamaica,2008,12.32,13860,2671934,4.61,5187.25
Japan,2008,1130.22,4701695,128063000,8.83,36713.92
Jordan,2008,25.94,15785,5786000,4.48,2728.14
Kazakhstan,2008,288.38,71136,15674000,18.40,4538.47
Kenya,2008,66.75,21367,38773277,1.72,551.08
Kiribati,2008,0.07,112,94832,0.76,1181.04
"Korea, Dem. Rep. (North)",2008,111.19,13337,24243894,4.59,550.12
"Korea, Rep. (South)",2008,563.43,1024417,48948698,11.51,20928.38
Kuwait,2008,183.93,94363,2702221,68.07,34920.53
Kyrgyzstan,2008,-1.23,2984,5318700,-0.23,561.04
Laos,2008,32.81,3447,6139127,5.34,561.48
Latvia,2008,-2.03,18960,2177322,-0.93,8707.94
Lebanon,2008,20.80,25816,4186088,4.97,6167.09
Lesotho,2008,2.01,1581,1972199,1.02,801.64
Liberia,2008,16.60,761,3672714,4.52,207.20
Libya,2008,131.95,51269,5876805,22.45,8723.96
Lithuania,2008,27.87,31804,3198231,8.72,9944.25
Luxembourg,2008,11.99,41542,488650,24.54,85013.81
"Macedonia, FYR",2008,12.72,7004,2098769,6.06,3337.19
Madagascar,2008,54.80,6023,19926785,2.75,302.26
Malawi,2008,14.21,3335,14138207,1.01,235.89
Malaysia,2008,427.74,168879,27302348,15.67,6185.51
Maldives,2008,1.09,1472,313843,3.47,4690.24
Mali,2008,34.15,6307,13138299,2.60,480.05
Malta,2008,3.09,6624,409379,7.55,16180.61
Mauritania,2008,9.58,2165,3422901,2.80,632.50
Mauritius,2008,5.10,7298,1244121,4.10,5865.99
Mexico,2008,726.33,951454,114968039,6.32,8275.81
Moldova,2008,10.84,3477,3570108,3.04,973.92
Mongolia,2008,57.14,3289,2632834,21.70,1249.22
Montenegro,2008,4.07,2899,618649,6.59,4686.02
Morocco,2008,70.31,69559,30955151,2.27,2247.09
Mozambique,2008,57.56,7937,22762525,2.53,348.69
Myanmar,2008,171.76,25100,51174018,3.36,490.48
Namibia,2008,17.84,8509,2110791,8.45,4031.19
Nauru,2008,0.06,39,9891,6.09,3942.98
Nepal,2008,35.80,9221,26249412,1.36,351.28
Netherlands,2008,218.30,742483,16445593,13.27,45147.84
New Zealand,2008,58.61,117787,4259800,13.76,27650.83
Nicaragua,2008,42.33,7131,5667983,7.47,1258.12
Niger,2008,23.09,4072,14737895,1.57,276.29
Nigeria,2008,457.13,137895,151208080,3.02,911.96
Niue,2008,0.07,10.23,1635,41.77,6256.88
Norway,2008,26.89,319518,4768212,5.64,67010.02
Oman,2008,90.05,37015,2593523,34.72,14272.09
Pakistan,2008,328.42,123959,167008083,1.97,742.23
Palau,2008,0.23,195,20228,11.13,9640.10
Panama,2008,19.28,20538,3553480,5.43,5779.69
Papua New Guinea,2008,102.31,5690,6550877,15.62,868.59
Paraguay,2008,103.56,10265,6236005,16.61,1646.09
Peru,2008,147.31,95472,28625628,5.15,3335.19
Philippines,2008,142.74,120449,90371287,1.58,1332.82
Poland,2008,327.93,360130,38125759,8.60,9445.84
Portugal,2008,73.27,205766,10558177,6.94,19488.78
Qatar,2008,63.23,77998,1359114,46.53,57388.86
Romania,2008,126.03,123573,20537875,6.14,6016.83
Russian Federation,2008,2227.41,943883,141956409,15.69,6649.10
Rwanda,2008,5.20,3373,10222961,0.51,329.94
Saint Kitts & Nevis,2008,0.33,616,51110,6.48,12052.44
Saint Lucia,2008,1.11,1043,172734,6.42,6038.19
Saint Vincent & Grenadines,2008,0.28,623,109158,2.55,5707.32
Samoa,2008,0.41,507,183444,2.21,2763.79
Sao Tome & Principe,2008,0.15,154,168253,0.90,915.29
Saudi Arabia,2008,418.33,398531,26366358,15.87,15115.13
Senegal,2008,29.12,9707,12238791,2.38,793.13
Serbia,2008,-4.89,30726,7350222,-0.66,4180.28
Seychelles,2008,0.76,1084,86956,8.71,12466.07
Sierra Leone,2008,10.85,1957,5532139,1.96,353.75
Singapore,2008,48.10,154051,4839400,9.94,31832.67
Slovakia,2008,39.36,79191,5379233,7.32,14721.62
Slovenia,2008,6.58,42421,2021316,3.25,20986.82
Solomon Islands,2008,2.20,509,503541,4.37,1010.84
South Africa,2008,467.94,295910,49344228,9.48,5996.85
Spain,2008,386.15,1264949,45954106,8.40,27526.35
Sri Lanka,2008,41.77,29733,20217000,2.07,1470.69
Sudan,2008,171.67,33535,34040065,5.04,985.16
Suriname,2008,8.66,2039,515372,16.80,3956.37
Swaziland,2008,3.05,2829,1153929,2.65,2451.62
Sweden,2008,35.80,418803,9219637,3.88,45425.11
Switzerland,2008,50.67,451501,7647675,6.63,59037.68
Syria,2008,97.34,42432,20346056,4.78,2085.51
Tajikistan,2008,8.63,2878,7275252,1.19,395.59
Tanzania,2008,165.50,17078,42353790,3.91,403.22
Thailand,2008,331.14,199519,66185340,5.00,3014.55
Togo,2008,14.08,2301,5987491,2.35,384.30
Tonga,2008,0.30,252,102947,2.91,2447.86
Trinidad & Tobago,2008,39.15,19820,1316449,29.74,15055.65
Tunisia,2008,32.46,37948,10328900,3.14,3673.96
Turkey,2008,342.41,543937,70363511,4.87,7730.38
Turkmenistan,2008,99.00,11456,4917543,20.13,2329.62
Uganda,2008,47.29,11769,31778799,1.49,370.34
Ukraine,2008,393.50,102026,46258200,8.51,2205.58
United Arab Emirates,2008,188.66,211236,6798635,27.75,31070.35
United Kingdom,2008,598.35,2540552,61806995,9.68,41104.60
United States,2008,6288.51,13645613,304093966,20.68,44873.01
Uruguay,2008,16.00,20639,3348898,4.78,6162.92
Uzbekistan,2008,224.20,18323,27302800,8.21,671.10
Vanuatu,2008,0.51,480,225398,2.27,2129.57
Venezuela,2008,387.67,183050,28120312,13.79,6509.53
Vietnam,2008,198.09,69790,85118700,2.33,819.91
World,2008,44372.42,51581518,6724770576,6.60,7670.38
Yemen,2008,31.14,18579,21703571,1.43,856.03
Zambia,2008,120.28,10499,12456527,9.66,842.85
Zimbabwe,2008,60.89,4407,12784041,4.76,344.73
Afghanistan,2009,26.96,9447,27708187,0.97,340.95
Albania,2009,7.40,10352,2927519,2.53,3536.10
Algeria,2009,167.74,112463,36383302,4.61,3091.06
Angola,2009,187.85,48711,18926650,9.93,2573.67
Antigua & Barbuda,2009,0.99,1090,86300,11.50,12630.36
Argentina,2009,389.49,269111,40023641,9.73,6723.80
Armenia,2009,8.18,5791,2968154,2.76,1951.04
Australia,2009,622.09,781662,21691700,28.68,36035.07
Austria,2009,82.80,329175,8343323,9.92,39453.70
Azerbaijan,2009,59.53,27000,8947243,6.65,3017.69
"Bahamas, The",2009,1.98,7501,354492,5.59,21159.86
Bahrain,2009,31.52,20059,1191539,26.46,16834.53
Bangladesh,2009,174.85,76629,149503100,1.17,512.56
Barbados,2009,3.62,4023,279006,12.98,14419.04
Belarus,2009,65.89,39850,9507000,6.93,4191.65
Belgium,2009,121.57,402124,10796493,11.26,37245.80
Belize,2009,13.91,1225,301016,46.21,4069.55
Benin,2009,21.70,5100,9240783,2.35,551.90
Bhutan,2009,-7.84,1153,704542,-11.13,1636.52
Bolivia,2009,128.78,11480,9993406,12.89,1148.76
Bosnia & Herzegovina,2009,26.68,12663,3853446,6.92,3286.15
Botswana,2009,19.34,11158,1951715,9.91,5717.02
Brazil,2009,1661.52,1019917,193490922,8.59,5271.14
Brunei,2009,20.89,9600,394400,52.97,24340.77
Bulgaria,2009,44.06,33503,7444443,5.92,4500.40
Burkina Faso,2009,32.77,6577,15094967,2.17,435.71
Burundi,2009,6.36,1341,8926687,0.71,150.22
Cambodia,2009,47.73,8204,14144225,3.37,580.02
Cameroon,2009,194.03,18541,20103945,9.65,922.26
Canada,2009,796.02,1199587,33628571,23.67,35671.66
Cape Verde,2009,0.45,1273,485714,0.93,2620.88
Central African Republic,2009,59.25,1777,4266247,13.89,416.53
Chad,2009,41.78,7420,11371325,3.67,652.52
Chile,2009,80.43,139622,16991729,4.73,8217.06
China,2009,8939.83,3476133,1331260000,6.72,2611.16
Colombia,2009,196.13,175907,45802561,4.28,3840.55
Comoros,2009,0.59,403,666097,0.88,605.02
"Congo, Dem. Rep.",2009,204.74,14630,60486276,3.38,241.87
"Congo, Rep.",2009,16.29,7221,3995146,4.08,1807.44
Cook Islands,2009,0.11,238,11870,8.95,20050.55
Costa Rica,2009,4.98,23837,4601424,1.08,5180.35
Cote d'Ivoire,2009,33.03,18687,18601342,1.78,1004.60
Croatia,2009,15.59,47297,4429078,3.52,10678.75
Cuba,2009,38.84,54144,11288826,3.44,4796.25
Cyprus,2009,8.86,18961,1090553,8.12,17386.59
Czech Republic,2009,117.85,149908,10443936,11.28,14353.59
Denmark,2009,61.74,260894,5523095,11.18,47236.92
Djibouti,2009,1.22,867,821865,1.49,1054.92
Dominica,2009,0.31,438,70996,4.33,6169.36
Dominican Republic,2009,30.56,42456,9884265,3.09,4295.31
Ecuador,2009,133.92,47366,14756424,9.08,3209.86
Egypt,2009,271.68,115098,76775023,3.54,1499.16
El Salvador,2009,13.81,18094,6183484,2.23,2926.18
Equatorial Guinea,2009,25.71,9133,676851,37.98,13493.37
Eritrea,2009,6.79,1034,5557889,1.22,186.04
Estonia,2009,26.39,13466,1334515,19.77,10090.56
Ethiopia,2009,136.73,18466,84838032,1.61,217.66
European Union (15),2009,3421.27,13632627,396958984,8.62,34342.66
European Union (28),2009,4192.25,14606697,498957308,8.40,29274.44
Fiji,2009,1.05,3025,852479,1.23,3548.47
Finland,2009,74.41,206727,5338871,13.94,38721.11
France,2009,447.42,2245688,64702921,6.92,34707.68
Gabon,2009,5.97,9076,1519155,3.93,5974.37
"Gambia, The",2009,6.69,736,1628332,4.11,452.00
Georgia,2009,9.56,7756,4410900,2.17,1758.37
Germany,2009,787.84,2918312,81902307,9.62,35631.62
Ghana,2009,55.00,13707,23691533,2.32,578.56
Greece,2009,112.47,258261,11187085,10.05,23085.64
Grenada,2009,1.74,668,104296,16.66,6404.85
Guatemala,2009,41.37,31649,13988988,2.96,2262.42
Guinea,2009,27.95,3206,10593248,2.64,302.65
Guinea-Bissau,2009,3.88,661,1550905,2.50,426.20
Guyana,2009,7.50,880,781055,9.60,1126.68
Haiti,2009,8.08,4563,9765153,0.83,467.27
Honduras,2009,47.35,11131,7469844,6.34,1490.12
Hungary,2009,68.36,110219,10022650,6.82,10996.99
Iceland,2009,2.91,18432,318499,9.14,57871.45
India,2009,2542.04,1127948,1190138069,2.14,947.75
Indonesia,2009,1959.49,355757,237486894,8.25,1498.01
Iran,2009,687.65,229202,73542954,9.35,3116.57
Iraq,2009,210.03,62930,30163199,6.96,2086.32
Ireland,2009,62.37,212288,4535375,13.75,46807.15
Israel,2009,81.70,167422,7485600,10.91,22365.88
Italy,2009,448.27,1794327,59095365,7.59,30363.24
Jamaica,2009,10.19,12067,2681386,3.80,4500.28
Japan,2009,1067.52,4441833,128047000,8.34,34689.08
Jordan,2009,26.40,16649,5915000,4.46,2814.71
Kazakhstan,2009,261.67,71990,16092701,16.26,4473.46
Kenya,2009,66.97,22074,39824734,1.68,554.28
Kiribati,2009,0.06,111,96272,0.59,1152.98
"Korea, Dem. Rep. (North)",2009,111.19,12035,24371865,4.56,493.81
"Korea, Rep. (South)",2009,577.86,1031665,49182038,11.75,20976.46
Kuwait,2009,191.20,87686,2850102,67.08,30765.92
Kyrgyzstan,2009,-2.09,3070,5383300,-0.39,570.28
Laos,2009,34.38,3706,6267968,5.48,591.26
Latvia,2009,-2.71,15556,2141669,-1.26,7263.49
Lebanon,2009,24.72,28475,4246924,5.82,6704.85
Lesotho,2009,2.02,1634,1989873,1.02,821.16
Liberia,2009,16.82,866,3821440,4.40,226.62
Libya,2009,137.96,52345,5964325,23.13,8776.35
Lithuania,2009,25.65,27116,3162916,8.11,8573.10
Luxembourg,2009,11.39,39326,497783,22.88,79002.30
"Macedonia, FYR",2009,12.16,6939,2100558,5.79,3303.41
Madagascar,2009,56.83,5782,20495695,2.77,282.11
Malawi,2009,14.02,3637,14573338,0.96,249.57
Malaysia,2009,411.70,166322,27790324,14.81,5984.89
Maldives,2009,1.15,1419,319660,3.60,4439.09
Mali,2009,33.52,6588,13559296,2.47,485.87
Malta,2009,2.98,6439,412477,7.22,15610.57
Mauritania,2009,10.44,2139,3516077,2.97,608.35
Mauritius,2009,5.08,7517,1247429,4.07,6025.99
Mexico,2009,712.89,906732,116422752,6.12,7788.27
Moldova,2009,10.74,3269,3565604,3.01,916.82
Mongolia,2009,55.82,3247,2672223,20.89,1215.09
Montenegro,2009,2.94,2735,619408,4.75,4415.51
Morocco,2009,70.02,72869,31276564,2.24,2329.83
Mozambique,2009,55.36,8451,23361025,2.37,361.76
Myanmar,2009,179.85,31729,51540490,3.49,615.61
Namibia,2009,19.63,8534,2143498,9.16,3981.34
Nauru,2009,0.06,44,9939,5.70,4427.00
Nepal,2009,37.18,9639,26544943,1.40,363.12
Netherlands,2009,210.34,717995,16530388,12.72,43434.85
New Zealand,2009,56.13,120385,4302600,13.05,27979.59
Nicaragua,2009,42.56,6934,5743329,7.41,1207.31
Niger,2009,24.23,4043,15302948,1.58,264.20
Nigeria,2009,438.26,147458,155381020,2.82,949.01
Niue,2009,0.07,10.25,1628,43.06,6296.07
Norway,2009,25.66,314294,4828726,5.31,65088.39
Oman,2009,95.87,39278,2663224,36.00,14748.29
Pakistan,2009,339.97,127469,170093999,2.00,749.40
Palau,2009,0.23,174,20344,11.07,8552.89
Panama,2009,20.76,21354,3615846,5.74,5905.67
Papua New Guinea,2009,102.00,6039,6704829,15.21,900.69
Paraguay,2009,105.33,9858,6347383,16.59,1553.08
Peru,2009,151.20,96474,28934303,5.23,3334.24
Philippines,2009,145.38,121832,91886400,1.58,1325.90
Poland,2009,313.93,369616,38151603,8.23,9688.09
Portugal,2009,72.66,199638,10568247,6.88,18890.36
Qatar,2009,68.35,87324,1564082,43.70,55830.83
Romania,2009,109.87,115171,20367487,5.39,5654.65
Russian Federation,2009,2007.73,870063,141909244,14.15,6131.12
Rwanda,2009,5.29,3585,10529668,0.50,340.47
Saint Kitts & Nevis,2009,0.34,581,51731,6.64,11231.18
Saint Lucia,2009,1.10,1049,175200,6.29,5987.44
Saint Vincent & Grenadines,2009,0.28,610,109249,2.55,5583.58
Samoa,2009,0.41,482,184704,2.24,2609.58
Sao Tome & Principe,2009,0.16,161,173240,0.93,929.35
Saudi Arabia,2009,437.74,405821,26796375,16.34,15144.62
Senegal,2009,29.08,9942,12586827,2.31,789.87
Serbia,2009,-10.04,29769,7320807,-1.37,4066.35
Seychelles,2009,0.80,1072,87298,9.22,12279.78
Sierra Leone,2009,10.96,2019,5641182,1.94,357.90
Singapore,2009,49.56,153122,4987600,9.94,30700.54
Slovakia,2009,35.56,75002,5386406,6.60,13924.31
Slovenia,2009,4.60,39114,2039669,2.26,19176.64
Solomon Islands,2009,2.21,485,514964,4.30,941.81
South Africa,2009,449.43,291358,50055701,8.98,5820.68
Spain,2009,345.81,1219743,46362946,7.46,26308.57
Sri Lanka,2009,41.06,30785,20450000,2.01,1505.38
Sudan,2009,184.62,34619,34853178,5.30,993.28
Suriname,2009,8.89,2100,520173,17.08,4037.12
Swaziland,2009,2.81,2864,1173678,2.39,2440.19
Sweden,2009,32.67,397090,9298515,3.51,42704.67
Switzerland,2009,49.22,441886,7743831,6.36,57062.97
Syria,2009,91.43,48542,21031546,4.35,2308.06
Tajikistan,2009,8.25,2987,7447396,1.11,401.08
Tanzania,2009,166.09,17999,43639752,3.81,412.45
Thailand,2009,329.85,194870,66277335,4.98,2940.22
Togo,2009,15.13,2382,6144457,2.46,387.67
Tonga,2009,0.34,260,103557,3.28,2510.69
Trinidad & Tobago,2009,38.81,18949,1322518,29.34,14327.97
Tunisia,2009,33.02,39317,10439600,3.16,3766.14
Turkey,2009,337.35,517687,71241080,4.74,7266.69
Turkmenistan,2009,91.70,12155,4978962,18.42,2441.27
Uganda,2009,47.41,12622,32864328,1.44,384.06
Ukraine,2009,336.10,86926,46053300,7.30,1887.51
United Arab Emirates,2009,191.87,200161,7718319,24.86,25933.24
United Kingdom,2009,549.52,2431038,62276270,8.82,39036.35
United States,2009,5901.05,13263041,306771529,19.24,43234.26
Uruguay,2009,15.84,21124,3360431,4.71,6286.10
Uzbekistan,2009,217.03,19808,27767400,7.82,713.35
Vanuatu,2009,0.51,495,230833,2.22,2144.41
Venezuela,2009,385.18,177189,28583040,13.48,6199.10
Vietnam,2009,219.17,73557,86025000,2.55,855.07
World,2009,44002.56,50510637,6804045819,6.47,7423.62
Yemen,2009,33.17,19347,22229625,1.49,870.33
Zambia,2009,113.25,11467,12825031,8.83,894.11
Zimbabwe,2009,61.75,4671,12888918,4.79,362.40
Afghanistan,2010,30.62,10243,28397812,1.08,360.70
Albania,2010,7.75,10736,2913021,2.66,3685.52
Algeria,2010,169.32,116512,37062820,4.57,3143.64
Angola,2010,199.30,50371,19549124,10.19,2576.64
Antigua & Barbuda,2010,1.02,1012,87233,11.67,11601.11
Argentina,2010,389.38,293698,40374224,9.64,7274.39
Armenia,2010,8.00,5918,2963496,2.70,1996.97
Australia,2010,592.63,797001,22031800,26.90,36175.03
Austria,2010,88.17,335364,8363404,10.54,40098.98
Azerbaijan,2010,60.84,28310,9054332,6.72,3126.68
"Bahamas, The",2010,2.76,7617,360498,7.67,21129.10
Bahrain,2010,32.70,20928,1251513,26.13,16722.16
Bangladesh,2010,182.21,80898,151125475,1.21,535.30
Barbados,2010,3.53,4033,280396,12.58,14383.23
Belarus,2010,68.93,42934,9490000,7.26,4524.13
Belgium,2010,130.04,412182,10920272,11.91,37744.66
Belize,2010,14.13,1266,308595,45.78,4102.46
Benin,2010,21.95,5233,9509798,2.31,550.27
Bhutan,2010,-7.75,1288,716939,-10.80,1796.53
Bolivia,2010,154.85,11954,10156601,15.25,1176.97
Bosnia & Herzegovina,2010,26.77,12751,3845929,6.96,3315.45
Botswana,2010,28.90,12117,1969341,14.68,6152.82
Brazil,2010,1773.77,1096754,195210154,9.09,5618.32
Brunei,2010,20.97,9850,400569,52.34,24590.02
Bulgaria,2010,45.60,33722,7395599,6.17,4559.74
Burkina Faso,2010,33.47,7132,15540284,2.15,458.94
Burundi,2010,6.53,1392,9232753,0.71,150.77
Cambodia,2010,48.63,8693,14364931,3.39,605.15
Cameroon,2010,192.29,19147,20624343,9.32,928.37
Canada,2010,860.44,1240064,34005274,25.30,36466.81
Cape Verde,2010,0.52,1291,487601,1.07,2647.66
Central African Republic,2010,62.08,1895,4349921,14.27,435.64
Chad,2010,42.24,8425,11720781,3.60,718.81
Chile,2010,84.91,147668,17150760,4.95,8610.00
China,2010,9473.05,3839284,1337705000,7.08,2870.05
Colombia,2010,199.02,182893,46444798,4.29,3937.86
Comoros,2010,0.59,412,683081,0.86,603.15
"Congo, Dem. Rep.",2010,207.21,15669,62191161,3.33,251.95
"Congo, Rep.",2010,16.17,7853,4111715,3.93,1909.91
Cook Islands,2010,0.11,244,11488,9.18,21239.55
Costa Rica,2010,5.16,25018,4669685,1.10,5357.53
Cote d'Ivoire,2010,33.54,19064,18976588,1.77,1004.61
Croatia,2010,14.81,46493,4417781,3.35,10524.06
Cuba,2010,36.07,55437,11281768,3.20,4913.86
Cyprus,2010,8.59,19207,1103685,7.78,17402.61
Czech Republic,2010,121.66,153349,10474410,11.61,14640.35
Denmark,2010,62.66,265134,5547683,11.30,47791.84
Djibouti,2010,1.28,906,834036,1.54,1086.28
Dominica,2010,0.31,442,71167,4.42,6210.74
Dominican Republic,2010,31.69,45981,10016797,3.16,4590.39
Ecuador,2010,136.80,49036,15001072,9.12,3268.83
Egypt,2010,274.94,121022,78075705,3.52,1550.06
El Salvador,2010,13.42,18341,6218195,2.16,2949.57
Equatorial Guinea,2010,25.57,9014,696167,36.73,12948.04
Eritrea,2010,6.81,1057,5741159,1.19,184.11
Estonia,2010,30.22,13800,1331475,22.69,10364.45
Ethiopia,2010,141.41,20784,87095281,1.62,238.64
European Union (15),2010,3498.48,13922775,398402644,8.78,34946.49
European Union (28),2010,4295.10,14919228,500187746,8.59,29827.26
Fiji,2010,1.47,3115,860559,1.71,3619.74
Finland,2010,82.37,212913,5363352,15.36,39697.75
France,2010,453.28,2289830,65023142,6.97,35215.62
Gabon,2010,6.17,9685,1556222,3.96,6223.41
"Gambia, The",2010,6.88,784,1680640,4.09,466.49
Georgia,2010,9.04,8241,4452800,2.03,1850.75
Germany,2010,826.20,3037694,81776930,10.10,37146.10
Ghana,2010,56.88,14805,24262901,2.34,610.19
Greece,2010,105.69,244190,11153454,9.48,21893.67
Grenada,2010,1.75,664,104677,16.76,6343.32
Guatemala,2010,39.57,32557,14341576,2.76,2270.11
Guinea,2010,28.40,3268,10876033,2.61,300.48
Guinea-Bissau,2010,4.03,690,1586624,2.54,434.89
Guyana,2010,7.08,919,786126,9.01,1169.02
Haiti,2010,8.00,4313,9896400,0.81,435.82
Honduras,2010,47.33,11546,7621204,6.21,1514.98
Hungary,2010,68.57,111089,10000023,6.86,11108.87
Iceland,2010,2.79,17891,318041,8.77,56253.75
India,2010,2647.93,1243676,1205624648,2.20,1031.56
Indonesia,2010,1928.02,377899,240676485,8.01,1570.15
Iran,2010,683.68,242702,74462314,9.18,3259.39
Iraq,2010,227.21,66415,30962380,7.34,2145.02
Ireland,2010,61.17,211703,4560155,13.41,46424.52
Israel,2010,86.74,177049,7623600,11.38,23223.81
